DATAFLOW,MEASURE,VALUE,SECTOR,WORK_TYPE,BUILDING_TYPE,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2010-01,1234555,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2010-02,934659,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2010-03,1190285,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2010-04,934773,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2010-05,948430,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2010-06,893294,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2010-07,727896,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2010-08,825829,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2010-09,897502,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2010-10,805306,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2010-11,986880,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2010-12,881862,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2011-01,704315,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2011-02,1143675,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2011-03,834301,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2011-04,671871,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2011-05,1060916,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2011-06,994024,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2011-07,809363,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2011-08,1096845,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2011-09,1024910,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2011-10,1181070,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2011-11,892929,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2011-12,938240,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2012-01,636143,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2012-02,757067,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2012-03,1088728,AUD,3,,
